 0.000e+00  0.000e+00  0.000e+00  5.236e-01  1.654e+00
 2.919e-02 -7.854e-05  1.360e-04  5.236e-01  1.654e+00
 4.656e-02 -7.854e-05  1.360e-04  5.236e-01  1.654e+00
 7.236e-02  1.397e-06  2.297e-04  5.236e-01  1.654e+00
 9.143e-02  1.355e-04  3.905e-04  5.236e-01  1.654e+00
 1.091e-01  3.443e-04  6.445e-04  5.236e-01  1.654e+00
 1.237e-01  6.108e-04  9.707e-04  5.236e-01  1.653e+00
 1.434e-01  9.290e-04  1.362e-03  5.236e-01  1.653e+00
 1.665e-01  1.289e-03  1.805e-03  5.236e-01  1.653e+00
 1.844e-01  1.702e-03  2.315e-03  5.247e-01  1.651e+00
 2.059e-01  2.177e-03  2.903e-03  5.236e-01  1.651e+00
 2.240e-01  2.702e-03  3.552e-03  5.236e-01  1.651e+00
 2.436e-01  3.283e-03  4.272e-03  5.236e-01  1.650e+00
 2.639e-01  3.911e-03  5.051e-03  5.247e-01  1.649e+00
 2.857e-01  4.587e-03  5.892e-03  5.247e-01  1.648e+00
 3.063e-01  5.315e-03  6.796e-03  5.247e-01  1.647e+00
 3.243e-01  6.097e-03  7.767e-03  5.236e-01  1.647e+00
 3.447e-01  6.930e-03  8.800e-03  5.225e-01  1.646e+00
 3.637e-01  7.804e-03  9.886e-03  5.225e-01  1.645e+00
 3.867e-01  8.726e-03  1.103e-02  5.214e-01  1.645e+00
 4.067e-01  9.688e-03  1.223e-02  5.203e-01  1.644e+00
 4.234e-01  1.070e-02  1.349e-02  5.181e-01  1.644e+00
 4.441e-01  1.176e-02  1.480e-02  5.181e-01  1.643e+00
 4.631e-01  1.286e-02  1.616e-02  5.171e-01  1.643e+00
 4.915e-01  1.399e-02  1.757e-02  5.160e-01  1.642e+00
 5.086e-01  1.517e-02  1.903e-02  5.149e-01  1.641e+00
 5.250e-01  1.640e-02  2.057e-02  5.138e-01  1.640e+00
 5.438e-01  1.767e-02  2.215e-02  5.127e-01  1.639e+00
 5.633e-01  1.896e-02  2.376e-02  5.127e-01  1.638e+00
 5.900e-01  2.029e-02  2.541e-02  5.138e-01  1.636e+00
 6.066e-01  2.165e-02  2.711e-02  5.138e-01  1.634e+00
 6.234e-01  2.306e-02  2.888e-02  5.149e-01  1.631e+00
 6.442e-01  2.450e-02  3.068e-02  5.160e-01  1.629e+00
 6.638e-01  2.596e-02  3.251e-02  5.160e-01  1.627e+00
 6.913e-01  2.746e-02  3.438e-02  5.171e-01  1.625e+00
 7.089e-01  2.899e-02  3.629e-02  5.181e-01  1.622e+00
 7.262e-01  3.057e-02  3.827e-02  5.192e-01  1.619e+00
 7.443e-01  3.218e-02  4.027e-02  5.225e-01  1.615e+00
 7.637e-01  3.380e-02  4.231e-02  5.236e-01  1.613e+00
 7.841e-01  3.545e-02  4.438e-02  5.280e-01  1.608e+00
 8.063e-01  3.712e-02  4.648e-02  5.312e-01  1.604e+00
 8.242e-01  3.883e-02  4.862e-02  5.334e-01  1.600e+00
 8.462e-01  4.056e-02  5.080e-02  5.400e-01  1.594e+00
 8.630e-01  4.231e-02  5.301e-02  5.411e-01  1.591e+00
 8.836e-01  4.410e-02  5.525e-02  5.465e-01  1.585e+00
 9.089e-01  4.589e-02  5.752e-02  5.509e-01  1.580e+00
 9.245e-01  4.772e-02  5.981e-02  5.552e-01  1.575e+00
 9.440e-01  4.959e-02  6.215e-02  5.563e-01  1.572e+00
 9.633e-01  5.147e-02  6.450e-02  5.596e-01  1.568e+00
 9.847e-01  5.337e-02  6.689e-02  5.640e-01  1.563e+00
 1.009e+00  5.528e-02  6.929e-02  5.661e-01  1.559e+00
 1.026e+00  5.722e-02  7.173e-02  5.694e-01  1.554e+00
 1.044e+00  5.920e-02  7.420e-02  5.716e-01  1.551e+00
 1.064e+00  6.119e-02  7.669e-02  5.727e-01  1.547e+00
 1.084e+00  6.319e-02  7.921e-02  5.803e-01  1.540e+00
 1.109e+00  6.521e-02  8.174e-02  5.847e-01  1.535e+00
 1.127e+00  6.724e-02  8.430e-02  5.880e-01  1.530e+00
 1.145e+00  6.931e-02  8.689e-02  5.912e-01  1.526e+00
 1.164e+00  7.139e-02  8.949e-02  5.923e-01  1.522e+00
 1.186e+00  7.348e-02  9.211e-02  5.967e-01  1.517e+00
 1.209e+00  7.558e-02  9.475e-02  6.000e-01  1.512e+00
